,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
118, ,Diamond Princess,0.0,0.0,2020-02-20,634,2,1,631
119, ,MS Zaandam,0.0,0.0,2020-02-20,0,0,0,0
120,Diamond Princess,Canada,0.0,0.0,2020-02-21,0,0,0,0
121,Grand Princess,Canada,0.0,0.0,2020-02-21,0,0,0,0
122, ,Diamond Princess,0.0,0.0,2020-02-21,634,2,1,631
123, ,MS Zaandam,0.0,0.0,2020-02-21,0,0,0,0
124,Diamond Princess,Canada,0.0,0.0,2020-02-22,0,0,0,0
125,Grand Princess,Canada,0.0,0.0,2020-02-22,0,0,0,0
126, ,Diamond Princess,0.0,0.0,2020-02-22,634,2,1,631
127, ,MS Zaandam,0.0,0.0,2020-02-22,0,0,0,0
128,Diamond Princess,Canada,0.0,0.0,2020-02-23,0,0,0,0
129,Grand Princess,Canada,0.0,0.0,2020-02-23,0,0,0,0
130, ,Diamond Princess,0.0,0.0,2020-02-23,691,3,0,688
131, ,MS Zaandam,0.0,0.0,2020-02-23,0,0,0,0
132,Diamond Princess,Canada,0.0,0.0,2020-02-24,0,0,0,0
133,Grand Princess,Canada,0.0,0.0,2020-02-24,0,0,0,0
134, ,Diamond Princess,0.0,0.0,2020-02-24,691,3,0,688
135, ,MS Zaandam,0.0,0.0,2020-02-24,0,0,0,0
136,Diamond Princess,Canada,0.0,0.0,2020-02-25,0,0,0,0
137,Grand Princess,Canada,0.0,0.0,2020-02-25,0,0,0,0
138, ,Diamond Princess,0.0,0.0,2020-02-25,691,3,0,688
139, ,MS Zaandam,0.0,0.0,2020-02-25,0,0,0,0
140,Diamond Princess,Canada,0.0,0.0,2020-02-26,0,0,0,0
141,Grand Princess,Canada,0.0,0.0,2020-02-26,0,0,0,0
142, ,Diamond Princess,0.0,0.0,2020-02-26,705,4,10,691
143, ,MS Zaandam,0.0,0.0,2020-02-26,0,0,0,0
144,Diamond Princess,Canada,0.0,0.0,2020-02-27,0,0,0,0
145,Grand Princess,Canada,0.0,0.0,2020-02-27,0,0,0,0
146, ,Diamond Princess,0.0,0.0,2020-02-27,705,4,10,691
147, ,MS Zaandam,0.0,0.0,2020-02-27,0,0,0,0
148,Diamond Princess,Canada,0.0,0.0,2020-02-28,0,0,0,0
149,Grand Princess,Canada,0.0,0.0,2020-02-28,0,0,0,0
150, ,Diamond Princess,0.0,0.0,2020-02-28,705,6,10,689
151, ,MS Zaandam,0.0,0.0,2020-02-28,0,0,0,0
152,Diamond Princess,Canada,0.0,0.0,2020-02-29,0,0,0,0
153,Grand Princess,Canada,0.0,0.0,2020-02-29,0,0,0,0
154, ,Diamond Princess,0.0,0.0,2020-02-29,705,6,10,689
155, ,MS Zaandam,0.0,0.0,2020-02-29,0,0,0,0
156,Diamond Princess,Canada,0.0,0.0,2020-03-01,0,0,0,0
157,Grand Princess,Canada,0.0,0.0,2020-03-01,0,0,0,0
158, ,Diamond Princess,0.0,0.0,2020-03-01,705,6,10,689
159, ,MS Zaandam,0.0,0.0,2020-03-01,0,0,0,0
160,Diamond Princess,Canada,0.0,0.0,2020-03-02,0,0,0,0
161,Grand Princess,Canada,0.0,0.0,2020-03-02,0,0,0,0
162, ,Diamond Princess,0.0,0.0,2020-03-02,705,6,10,689
163, ,MS Zaandam,0.0,0.0,2020-03-02,0,0,0,0
164,Diamond Princess,Canada,0.0,0.0,2020-03-03,0,0,0,0
